date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
17:20:53	3003/3003	---MCZ	200	added ('OK')	text/html	date:Wed,%2020%20Aug%202025%2015:20:52%20GMT	https://app--didi-tattoo-studio-4d487825.base44.app/Home	C:/Mijn%20Web%20paginas/Didi%20tattoo/app--didi-tattoo-studio-4d487825.base44.app/Home.html	(from )
17:20:53	129/129	---MCZ	404	error ('Not%20Found')	application/json	date:Wed,%2020%20Aug%202025%2015:20:52%20GMT	https://app--didi-tattoo-studio-4d487825.base44.app/robots.txt		(from )
17:20:53	58947/58947	---M--	200	added ('OK')	application/octet-stream	etag:%22a7a16d6d65ee5b71124b17b704ebc0a9%22	https://qtrypzzcjebvfcihiynt.supabase.co/storage/v1/object/public/base44-prod/public/4f5c70ef4_Schermafbeelding2025-08-20165846.png	C:/Mijn%20Web%20paginas/Didi%20tattoo/qtrypzzcjebvfcihiynt.supabase.co/storage/v1/object/public/base44-prod/public/4f5c70ef4_Schermafbeelding2025-08-20165846.png	(from https://app--didi-tattoo-studio-4d487825.base44.app/Home)
17:20:53	0/0	---M--	302	error ('Found')	text/html	date:Wed,%2020%20Aug%202025%2015:20:53%20GMT	https://app--didi-tattoo-studio-4d487825.base44.app/manifest.json	C:/Mijn%20Web%20paginas/Didi%20tattoo/app--didi-tattoo-studio-4d487825.base44.app/manifest.json	(from https://app--didi-tattoo-studio-4d487825.base44.app/Home)
17:20:54	743/743	---MCZ	200	added ('OK')	application/json	date:Wed,%2020%20Aug%202025%2015:20:53%20GMT	https://app--didi-tattoo-studio-4d487825.base44.app/api/apps/manifests/68a5db855089efef4d487825/manifest.json	C:/Mijn%20Web%20paginas/Didi%20tattoo/app--didi-tattoo-studio-4d487825.base44.app/api/apps/manifests/68a5db855089efef4d487825/manifest.json	(from https://app--didi-tattoo-studio-4d487825.base44.app/Home)
17:20:54	18631/18631	---MCZ	200	added ('OK')	text/javascript	etag:W/%22f9266bbfa5c23a87206b519c91b9f97c%22	https://r.wdfl.co/rw.js	C:/Mijn%20Web%20paginas/Didi%20tattoo/r.wdfl.co/rw.js	(from https://app--didi-tattoo-studio-4d487825.base44.app/Home)
17:20:55	6965768/6965768	---MCZ	200	added ('OK')	text/javascript	etag:W/%2252ae2db0c6708606e36ff3353013c982%22	https://app--didi-tattoo-studio-4d487825.base44.app/static/js/vendors.63553041.js	C:/Mijn%20Web%20paginas/Didi%20tattoo/app--didi-tattoo-studio-4d487825.base44.app/static/js/vendors.63553041.js	(from https://app--didi-tattoo-studio-4d487825.base44.app/Home)
17:20:55	42636/42636	---MCZ	200	added ('OK')	text/css	etag:W/%22132c90c4eb93231205b5579d3f95c61d%22	https://app--didi-tattoo-studio-4d487825.base44.app/static/css/vendors.77bf307e.css	C:/Mijn%20Web%20paginas/Didi%20tattoo/app--didi-tattoo-studio-4d487825.base44.app/static/css/vendors.77bf307e.css	(from https://app--didi-tattoo-studio-4d487825.base44.app/Home)
17:20:56	1279880/1279880	---MCZ	200	added ('OK')	text/javascript	etag:W/%224c46ff8bea9d5bd7cfc1a0212ff4a98e%22	https://app--didi-tattoo-studio-4d487825.base44.app/static/js/main.56a26920.js	C:/Mijn%20Web%20paginas/Didi%20tattoo/app--didi-tattoo-studio-4d487825.base44.app/static/js/main.56a26920.js	(from https://app--didi-tattoo-studio-4d487825.base44.app/Home)
17:20:56	476065/476065	---MCZ	200	added ('OK')	text/css	etag:W/%22b315c0ad4233f9a06421496c084fa87b%22	https://app--didi-tattoo-studio-4d487825.base44.app/static/css/main.a18e100c.css	C:/Mijn%20Web%20paginas/Didi%20tattoo/app--didi-tattoo-studio-4d487825.base44.app/static/css/main.a18e100c.css	(from https://app--didi-tattoo-studio-4d487825.base44.app/Home)
17:20:57	59824/59824	---MCZ	200	added ('OK')	font/ttf	etag:W/%22444e1e039e952c59780fea46a400c272%22	https://app--didi-tattoo-studio-4d487825.base44.app/static/media/WixMadeforTextApp-Regular_1048040404.b682f51962b316f3cd85.ttf	C:/Mijn%20Web%20paginas/Didi%20tattoo/app--didi-tattoo-studio-4d487825.base44.app/static/media/WixMadeforTextApp-Regular_1048040404.b682f51962b316f3cd85.ttf	(from https://app--didi-tattoo-studio-4d487825.base44.app/static/css/main.a18e100c.css)
17:20:57	60984/60984	---MCZ	200	added ('OK')	font/ttf	etag:W/%2276e6e7a46a2d583844eaaf13b7940e1b%22	https://app--didi-tattoo-studio-4d487825.base44.app/static/media/WixMadeforTextApp-Italic_3654762839.aee29983d65a238f2a37.ttf	C:/Mijn%20Web%20paginas/Didi%20tattoo/app--didi-tattoo-studio-4d487825.base44.app/static/media/WixMadeforTextApp-Italic_3654762839.aee29983d65a238f2a37.ttf	(from https://app--didi-tattoo-studio-4d487825.base44.app/static/css/main.a18e100c.css)
17:20:57	36008/36008	---M--	200	added ('OK')	font/woff2	etag:%2203d8f7067172c13e7204d998625f75e1%22	https://app--didi-tattoo-studio-4d487825.base44.app/static/media/WixMadeforText-Medium.b4ba8f598cc07ff557ce.woff2	C:/Mijn%20Web%20paginas/Didi%20tattoo/app--didi-tattoo-studio-4d487825.base44.app/static/media/WixMadeforText-Medium.b4ba8f598cc07ff557ce.woff2	(from https://app--didi-tattoo-studio-4d487825.base44.app/static/css/main.a18e100c.css)
17:20:58	26388/26388	---M--	200	added ('OK')	font/woff2	etag:%22b23f02bc9a1be2572d74100544581e93%22	https://app--didi-tattoo-studio-4d487825.base44.app/static/media/WixMadeforText-SemiBold.113c3e50164b8078006b.woff2	C:/Mijn%20Web%20paginas/Didi%20tattoo/app--didi-tattoo-studio-4d487825.base44.app/static/media/WixMadeforText-SemiBold.113c3e50164b8078006b.woff2	(from https://app--didi-tattoo-studio-4d487825.base44.app/static/css/main.a18e100c.css)
17:20:58	60204/60204	---MCZ	200	added ('OK')	font/ttf	etag:W/%22dfca7037bfcebeb19fbc422aad761e1b%22	https://app--didi-tattoo-studio-4d487825.base44.app/static/media/WixMadeforTextApp-Bold_2128642432.8ba0193239652ef62203.ttf	C:/Mijn%20Web%20paginas/Didi%20tattoo/app--didi-tattoo-studio-4d487825.base44.app/static/media/WixMadeforTextApp-Bold_2128642432.8ba0193239652ef62203.ttf	(from https://app--didi-tattoo-studio-4d487825.base44.app/static/css/main.a18e100c.css)
